Date,Destination,Min Price
2022-04-08,HYD,38.08
2022-04-08,CCU,36.04
2022-04-09,BOM,38.95
2022-04-09,BLR,35.6
2022-04-09,MAA,37.29
2022-04-09,HYD,38.08
2022-04-09,CCU,36.04
2022-04-10,BOM,38.95
2022-04-10,BLR,35.6
2022-04-10,MAA,37.29
2022-04-10,CCU,36.04
2022-04-11,BOM,38.95
2022-04-11,BLR,35.6
2022-04-11,MAA,37.29
2022-04-11,HYD,38.08
2022-04-12,BOM,38.95
2022-04-12,BLR,35.6
2022-04-12,MAA,37.29
2022-04-12,HYD,38.08
2022-04-12,CCU,36.04
2022-04-13,BOM,38.95
2022-04-13,BLR,35.6
2022-04-13,MAA,37.29
2022-04-13,HYD,38.08
2022-04-13,CCU,36.04
2022-04-14,BOM,38.95
2022-04-14,BLR,35.6
2022-04-14,MAA,37.29
2022-04-14,HYD,38.08
2022-04-14,CCU,36.04
2022-04-15,BOM,38.95
2022-04-15,BLR,35.6
2022-04-15,MAA,37.29
2022-04-15,CCU,36.04
2022-04-16,BOM,38.95
2022-04-16,BLR,35.6
2022-04-16,MAA,37.29
2022-04-16,HYD,38.08
2022-04-16,CCU,36.04
2022-04-17,BOM,38.95
2022-04-17,BLR,35.6
2022-04-17,MAA,37.29
2022-04-17,HYD,38.08
2022-04-17,CCU,36.04
2022-04-18,BOM,38.95
2022-04-18,BLR,35.6
2022-04-18,MAA,37.29
2022-04-18,HYD,38.08
2022-04-18,CCU,36.04
2022-04-19,BOM,38.95
2022-04-19,MAA,37.29
2022-04-19,HYD,38.08
2022-04-19,CCU,36.04
2022-04-20,BOM,38.95
2022-04-20,BLR,35.6
2022-04-20,MAA,37.29
2022-04-20,HYD,38.08
2022-04-20,CCU,36.04
2022-04-21,BOM,38.95
2022-04-21,BLR,35.6
2022-04-21,MAA,37.29
2022-04-21,HYD,38.08
2022-04-22,BOM,38.95
2022-04-22,BLR,35.6
2022-04-22,MAA,37.29
2022-04-22,HYD,38.08
2022-04-22,CCU,36.04
2022-04-23,BOM,38.95
2022-04-23,BLR,35.6
2022-04-23,MAA,37.29
2022-04-23,HYD,38.08
2022-04-23,CCU,36.04
2022-04-24,BOM,38.95
2022-04-24,BLR,35.6
2022-04-24,MAA,37.29
2022-04-24,HYD,38.08
2022-04-24,CCU,36.04
2022-04-25,BLR,35.6
2022-04-25,MAA,37.29
2022-04-25,CCU,36.04
2022-04-26,BOM,38.95
2022-04-26,BLR,35.6
2022-04-26,MAA,37.29
2022-04-26,HYD,38.08
2022-04-27,BOM,38.95
2022-04-27,BLR,35.6
2022-04-27,MAA,37.29
2022-04-27,HYD,38.08
2022-04-27,CCU,36.04
2022-04-28,BOM,38.95
2022-04-28,BLR,35.6
2022-04-28,MAA,37.29
2022-04-28,HYD,38.08
2022-04-28,CCU,36.04
2022-04-29,BOM,38.95
2022-04-29,MAA,37.29
2022-04-29,HYD,38.08
2022-04-29,CCU,36.04
2022-04-30,BOM,38.95
2022-04-30,BLR,35.6
2022-04-30,MAA,37.29
2022-04-30,HYD,38.08
2022-04-30,CCU,36.04
2022-05-01,BOM,38.93
2022-05-01,BLR,35.59
2022-05-01,MAA,37.28
2022-05-01,HYD,38.07
2022-05-01,CCU,36.02
2022-05-02,BOM,38.93
2022-05-02,BLR,35.59
2022-05-02,MAA,37.28
2022-05-02,HYD,38.07
2022-05-02,CCU,36.02
2022-05-03,BOM,38.93
2022-05-03,BLR,35.59
2022-05-03,MAA,37.28
2022-05-03,HYD,38.07
2022-05-03,CCU,36.02
2022-05-04,BLR,35.59
2022-05-04,MAA,37.28
2022-05-04,HYD,38.07
2022-05-05,BOM,38.93
2022-05-05,MAA,37.28
2022-05-05,CCU,36.02
2022-05-06,BOM,38.93
2022-05-06,BLR,35.59
2022-05-06,MAA,37.28
2022-05-06,HYD,38.07
2022-05-06,CCU,36.02
2022-05-07,BOM,38.93
2022-05-07,BLR,35.59
2022-05-07,MAA,37.28
2022-05-07,HYD,38.07
2022-05-07,CCU,36.02
2022-05-08,BOM,38.93
2022-05-08,BLR,35.59
2022-05-08,MAA,37.28
2022-05-08,HYD,38.07
